Metric,Duration,Source,Weekly % Change,Monthly % Change,
Twitter followers,Present Value,X,% change over previous 7 days,% change over previous 30 days,
Tweets ,Last 7 days,X,% change over previous 7 days,% change over previous 30 days,
Tweeter comments,Last 7 days,X,% change over previous 7 days,% change over previous 30 days,
GitHub Stars,Present Value,GitHub,% change over previous 7 days,% change over previous 30 days,
GitHub Issues,Present Value,GitHub,% change over previous 7 days,% change over previous 30 days,
GitHub Contributors,Present Value,GitHub,% change over previous 7 days,% change over previous 30 days,
Discord members,Present Value,Discord,% change over previous 7 days,% change over previous 30 days,
Discord messages,Last 7 days,Discord,% change over previous 7 days,% change over previous 30 days,
YouTube videos,Last 7 days,YouTube,% change over previous 7 days,% change over previous 30 days,
YouTube views,Last 7 days,YouTube,% change over previous 7 days,% change over previous 30 days,
YouTube subscribers,Present Value,YouTube,% change over previous 7 days,% change over previous 30 days,
Number of feedbacks gathered,Last month,Confluence,% change over previous 7 days,% change over previous 30 days,
Number of sales opportunities created,Last month,Attio,% change over previous 7 days,% change over previous 30 days,Need to figure out how we can track them
Blog subscribers,Present Value,Medium,% change over previous 7 days,% change over previous 30 days,
Blog likes,Last 7 days,Medium,% change over previous 7 days,% change over previous 30 days,
